name,country_iso2,region,locality
svga.ch,CH,vaud,lausanne
gaming gadgets,DE,hesse,oestrich-winkel
arclight,CZ,praha,prague
the puzzle bros,AR,buenos aires,
verse digital,GB,,
"lysvoron,lysvoron.com, inc.",
favg studio,UA,kyiv,
plable games,IN,telangana,hyderabad
dinobros,IT,lombardia,milan
wondersense games,US,texas,dallas
stan,IN,karnataka,bengaluru
amazing geeks,BR,paraiba,malta
les francs gamers,FR,nouvelle-aquitaine,boutiers-saint-trojan
light one,HK,central and western,hong kong
limiar studios,BR,rio de janeiro,rio de janeiro
huuza games,RW,kigali,kigali
renegados produzindo games ltda,BR,sao paulo,
bitfall studios gmbh,DE,brandenburg,potsdam
infinite mana games,SE,skåne,
aberratic,BE,namur,namur
radar games,KZ,almaty,kazakhstan
enoravfx,FR,bretagne,brest
round two interactive,IT,sicily,
landmarket,SE,,
futura games,GB,sheffield,
appjoy!,US,washington,bothell
crecon games,TR,istanbul,
mia&moon studio,PL,lesser poland voivodeship,kraków
mobile nation studio,PK,punjab,lahore
spectrum arcade,FR,auvergne-rhône-alpes,lyon
magni games,DE,,
autonomaton,PL,mazovia,warsaw
lucid factory lyon,FR,rhone-alpes,villeurbanne
champs play,NG,lagos,
bamboo studio game,IT,,
surrealverse,IN,kerala,
perspektik studio,TR,istanbul,
topmidstudio,BR,sao paulo,
fruitstars,GB,greater london,london
paynbuy,AE,,
foybh games,TR,istanbul,
sunny lab,FR,ile-de-france,paris
pishisoft,IR,qazvin,
bugfix games,TR,istanbul,
1m bits horde,BR,,
umay games,TR,izmir,balcova
space games pty ltd,AU,new south wales,brookvale
elyzio,US,delaware,wilmington
