"Team17 Digital","1"
"Team Wood Games","1"
"Team Tripleslash","1"
"Team Shifty","1"
"Team Salvato","1"
"Team Psykskallar","1"
"Team PEAK","1"
"Team NINJA","1"
"Team ModCom","1"
"Team Meat","1"
"Team Isolation","1"
"Team Indev","1"
"Team Fractal Alligator","1"
"Team Bondi","1"
"Team 6 Studios","1"
"Tasharen Entertainment Inc.","1"
"Tarsier Studios","1"
"Tanya Short","1"
"Tantalus","1"
"Tall Story Studios","1"
"Talha Kaya","1"
"Talentplace","1"
"Taito","1"
"T3Entertainment","1"
"System Erasure","1"
"System Era Softworks","1"
"Synset","1"
"Synaptic Insight Technology Systems","1"
"Sylvain Tegroeg","1"
"Sylv","1"
"SYCK","1"
"Swordtales","1"
"SwordRP5","1"
"Switchblade Monkeys Entertainment","1"
"Sweet Bandits Studios","1"
"Sven Co-op team","1"
"Svarog Studios","1"
"Sushi_soft","1"
"Sushee","1"
"Survios","1"
"Supra Games","1"
"SuperVillain Studios","1"
"SUPERSCARYSNAKES","1"
"Supercombo, Inc.","1"
"Superbrothers","1"
"Super Mega Team","1"
"Super Alex","1"
"Sunhead Games","1"
"Sumo Digital Ltd","1"
"Sukeban Games","1"
"Subvert Games","1"
"Subscience Studios","1"
"Subcreation Studio","1"
"Stygian Software","1"
"StunForge","1"
"Stuffed Wombat","1"
"StudioNAZE","1"
"StudioDobby","1"
"Studio Vrtinec","1"
"Studio Thunderhorse","1"
"STUDIO RADI-8","1"
"Studio Monolith","1"
"Studio MDHR Entertainment Inc.","1"
"Studio Fizbin","1"
"Studio Evil","1"
"Studio Chahut","1"
"Studio Bean","1"
"Stress Level Zero","1"
"Straylight Entertainment","1"
"Stray Kite Studios","1"
"Stray Fawn Studio","1"
"Strategiae","1"
"Stratecade LLC","1"
"Strange Fire","1"
"Storybird","1"
"Stormling Studios","1"
"Stormind Games","1"
"Storm in a Teacup","1"
"Stone Fox Studios","1"
"Stolen Couch Games","1"
"Stitch Heads Entertainment","1"
"Still Games","1"
"Steve Jarman","1"
"Stellar Jockeys","1"
"Stelex Software","1"
"Stegosoft Games","1"
"Steel Sky Productions","1"
"Steel Monkeys","1"
"Steel Crate Games","1"
"Steel Balalaika","1"
"Starward Industries","1"
"Startreming Games","1"
"StarQuail Games","1"
"Starbreeze Studios AB","1"
"Starbreeze","1"
"Star Maid Games","1"
"Star Gem Inc.","1"
"Star Drifters","1"
"StalkerAlex","1"
"Stairway Games","1"
"Stainless Games Ltd.","1"
"Stainless Games Ltd","1"
"Stainless Games","1"
"Stage Games","1"
"Squid In A Box Ltd","1"
"Squad","1"
"Spry Fox LLC","1"
"Spotted Zebra","1"
"Spooky Squid Games Inc.","1"
"Spline Games","1"
"SPLine","1"
"Splashteam","1"
"SpikySnail","1"
"Spiky Crumb","1"
"Spiderling Studios","1"
"Spider Nest Games","1"
"Spicyhorse Games","1"
"Spicy Horse Games","1"
"Sperasoft","1"
"SpeedTutor","1"
"Spectralflame","1"
"sparsevector","1"
"Sparpweed","1"
"Sparkypants Studios, LLC","1"
"Spaces of Play UG","1"
"Spaceboy Games","1"
"Space Boat Studios","1"
"SOUTHPAW GAMES","1"
"Southend","1"
"Sorath","1"
"Sonoshee","1"
"Sonic Team","1"
"Sonic Sloth","1"
"Sonic Powered","1"
"Sometimes You","1"
"Sólfar Studios","1"
"Solest Games","1"
"Soleil Ltd.","1"
"SoftWeir Inc.","1"
"SOFF Games","1"
"Social Loner Studios","1"
"Sobaka Studio","1"
"So Romantic","1"
